"
  July 24, 2017 6:38 p.m. ET
",Bitcoin Options Exchange Wins Approval From CFTC ,Gunjan Banerji,https://wsj.com/articles/bitcoin-options-exchange-wins-approval-from-cftc-1500935886,"Traders tired of quiet U.S. markets may soon have something more volatile to bet on: bitcoin options. On Monday, a bitcoin options exchange called LedgerX won approval from the Commodity Futures Trading Commission to clear bitcoin options, making it the first U.S. federally regulated platform of its kind. The venue will allow traders to place options bets on virtual currencies, which have recently posted some of the wildest swings...
  "
"
  Updated July 20, 2017 1:09 p.m. ET
",Global Crackdown Shuts Two of the Dark Web’s Biggest Sites for Drugs and Guns ,Robert McMillan,https://wsj.com/articles/authorities-close-two-large-illegal-goods-websites-1500568971,"Two of the world’s largest online marketplaces for criminal goods have been shut down, law enforcement authorities said Thursday, in a global operation that also resulted in the arrest of their owners and the freezing of millions of dollars in alleged criminal proceeds. AlphaBay, which sold heroin, fentanyl, firearms, and other illicit goods and allegedly serviced some 200,000 users and 40,000 vendors, was shut down earlier this month and its infrastructure seized, the Justice Department said. Attorney General Jeff...
  "
"
  July 16, 2017 5:41 p.m. ET
",Bitcoin Takes Weekend Slide ,Paul Vigna,https://wsj.com/articles/bitcoin-takes-weekend-slide-1500241282,"The price of the digital currency bitcoin fell over the weekend, dropping below $2,000 and farther away from its June highs, part of a broad selloff in dozens of cryptocurrencies, including ether. Bitcoin on Sunday traded as low as $1,836, according to news and research site CoinDesk, down about 8% on the day, and almost 40% from its high of $3,018 on June 11. Meanwhile, ether, the currency used on the Ethereum network, traded as low...
  "
"
  Updated July 13, 2017 3:04 p.m. ET
",Illegal-Goods Website AlphaBay Shut Following Law-Enforcement Action   ,Robert McMillan & Aruna Viswanatha,https://wsj.com/articles/illegal-goods-website-alphabay-shut-following-law-enforcement-action-1499968444,"An online marketplace that sold illegal goods on the so-called Dark Web was shut last week following action by international authorities, according to people familiar with the matter. The closing of AlphaBay, an anonymous marketplace that listed for sale drugs, counterfeit credit cards and other illegal goods, came after coordinated action by the U.S., Canada and Thailand, the people said.  The action included the arrest of...
  "
"
  Updated July 12, 2017 8:50 a.m. ET
",Former Chief of Collapsed Bitcoin Exchange Mt. Gox Stands Trial in Tokyo ,Takashi Mochizuki,https://wsj.com/articles/former-chief-of-collapsed-bitcoin-exchange-mt-gox-stands-trial-in-tokyo-1499862309,"TOKYO—More than three years after bitcoin exchange Mt. Gox collapsed, its former head went on trial this week as customers continued to wait for a clear answer on how exactly the company lost virtual currency valued in the hundreds of millions of dollars. Mark Karpelès, who was arrested in 2015 and released the following year pending trial, is charged with embezzlement and creation of unauthorized records at his company."
"
  July 9, 2017 6:22 p.m. ET
",Why Bitcoin Is Booming,,https://wsj.com/articles/why-bitcoin-is-booming-1499638932,"Who says only the government can make money? This year the value of the private currency bitcoin has climbed to unprecedented levels, while at the same time becoming far less volatile than in previous periods of rapidly increasing demand. Bitcoin has reached these new benchmarks despite news that might have depressed its value, such as the Securities and Exchange Commission’s rejection of a fund permitting small traders to invest in bitcoin on the stock market. The SEC action prompted obituaries, but bitcoin is thriving....
  "
"
  Updated July 7, 2017 8:34 a.m. ET
","Forget an IPO, Coin Offerings Are New Road to Startup Riches",Paul Vigna,https://wsj.com/articles/forget-an-ipo-coin-offerings-are-new-road-to-startup-riches-1499425200,"Two obscure companies with no sales raised nearly $400 million combined in recent days from outside investors. How did they do it? Via a new, unregulated fundraising method that has no connection to Wall Street and is based in the world of cryptocurrencies. These fundraisings, called “Initial Coin Offerings,” are exploding in value. So far this year, companies have raised more than $1 billion this way. That is 10 times the amount...
  "
"
      July 6, 2017 6:39 a.m. ET
    ",Today’s Top Supply Chain and Logistics News From WSJ,Paul Page,https://wsj.com/articles/todays-top-supply-chain-and-logistics-news-from-wsj-1499337538,
"
  July 5, 2017 7:13 p.m. ET
",The Future On Fast Forward,,https://wsj.com/articles/the-futureon-fast-forward-1499296409,"‘The future is already here—it’s just not very evenly distributed.” The aphorism coined by novelist William Gibson explains why Andrew McAfee and Erik Brynjolfsson’s tour of the technologies that are shaping the future of business, “Machine, Platform, Crowd: Harnessing Our Digital Future,” contains sights that are already familiar and others that are not. This is a book for managers whose companies sit well back from the edge and who would like a digestible introduction to technology trends that may not have reached their...
  "
"
  July 3, 2017 6:42 a.m. ET
",The 10-Point.,Gerard Baker,https://wsj.com/articles/the-10-point-1499078548,"Good morning,  Many Republican senators back home on recess this week are hearing from influential critics of their health-law effort: GOP governors urging them to push back on the legislation because it would cap the federal government’s share of Medicaid costs, in all cutting $772 billion from the program over a decade. Most vocal are governors of states that expanded Medicaid eligibility under the Affordable Care Act. Senate Majority Leader Mitch McConnell risked the pressure, perhaps unavoidably,...
  "
